Player,School,Conference,QBR
Brad Lewis,West Virginia,Big East,106.6
Nick Eddy,Houston,CUSA,103.7
Zak Clark,Arkansas,SEC,102.7
Kirk Farmer,Missouri,Big 12,104.4
Lon Sheriff,San Diego State,MWC,87.2
Ryan Cubit,Rutgers,Big East,86.6
Dan Orlovsky,Connecticut,Ind,93.5
Greg Cicero,Baylor,Big 12,89.0
Ryan Schneider,UCF,MAC,151.6
Brad Banks,Iowa,Big Ten,157.1
Scott McBrien,Maryland,ACC,141.3
Scott McBrien,Maryland,ACC,141.3
Byron Leftwich,Marshall,MAC,156.5
Ken Dorsey,Miami (FL),Big East,145.9
Bryan Randall,Virginia Tech,Big East,143.1
Jason Gesser,Washington State,Pac-10,146.4
Craig Krenzel,Ohio State,Big Ten,140.9
James MacPherson,Wake Forest,ACC,132.6
Carson Palmer,USC,Pac-10,149.1
Brian Jones,Toledo,MAC,152.3
Jason Johnson,Arizona,Pac-10,133.0
Chris Simms,Texas,Big 12,143.0
Andrew Walter,Arizona State,Pac-10,137.1
Philip Rivers,North Carolina State,ACC,141.1
Josh Haldi,Northern Illinois,MAC,133.0
Joshua Haldi,Northern Illinois,MAC,133.0
Nick Eddy,Houston,CUSA,122.0
Josh Fields,Oklahoma State,Big 12,140.3
David Greene,Georgia,SEC,137.3
Jon Beutjer,Illinois,Big Ten,138.0
Jon Beutjer,Illinois,Big Ten,138.0
Zack Threadgill,Nevada,WAC,136.1
Ben Roethlisberger,Miami (OH),MAC,138.7
Rod Rutherford,Pitt,Big East,129.3
Gino Guidugli,Cincinnati,CUSA,124.2
Jason Fife,Oregon,Pac-10,130.9
Dustin Long,Texas A&M,Big 12,125.7
Chris Rix,Florida State,ACC,128.2
Derek Anderson,Oregon State,Pac-10,121.6
Charlie Frye,Akron,MAC,136.5
Casey Clausen,Tennessee,SEC,132.0
Corey Jenkins,South Carolina,SEC,119.5
Cody Pickett,Washington,Pac-10,131.4
Seneca Wallace,Iowa State,Big 12,119.7
Brian St. Pierre,Boston College,Big East,126.0
Paul Pinegar,Fresno State,WAC,129.5
Zack Mills,Penn State,Big Ten,128.3
Timmy Chang,Hawaii,WAC,122.3
Jose Fuentes,Utah State,Ind,122.6
Adam Hall,San Diego State,MWC,129.1
Scott Rislov,San Jose State,WAC,132.0
Brian Lindgren,Idaho,Sun Belt,134.8
Gibran Hamdan,Indiana,Big Ten,113.1
Bradlee Van Pelt,Colorado State,MWC,119.6
Brooks Bollinger,Wisconsin,Big Ten,129.3
Andrico Hines,Middle Tennessee State,Sun Belt,121.4
Eli Manning,Ole Miss,SEC,125.6
Casey Bramlet,Wyoming,MWC,128.6
Matt Schaub,Virginia,ACC,147.5
Kyle Orton,Purdue,Big Ten,128.2
Jason Thomas,UNLV,MWC,112.8
Aaron Karas,Baylor,Big 12,117.3
Micky D'Angelo,Southern Mississippi,CUSA,115.3
Kliff Kingsbury,Texas Tech,Big 12,143.7
Luke McCown,Louisiana Tech,WAC,122.4
Nate Hybl,Oklahoma,Big 12,133.7
Asad Abdul-Khaliq,Minnesota,Big Ten,123.7
Chad Munson,Western Michigan,MAC,115.1
Carlyle Holiday,Notre Dame,Ind,117.6
Josh Harris,Bowling Green State,MAC,125.3
Jared Lorenzen,Kentucky,SEC,135.4
Rex Grossman,Florida,SEC,121.5
Dan Orlovsky,Connecticut,Ind,128.6
Brett Basanez,Northwestern,Big Ten,118.2
Elliot Jacobs,Arkansas State,Sun Belt,113.2
Matt Jones,Arkansas,SEC,125.0
Jay Cutler,Vanderbilt,SEC,112.4
Troy Nunes,Syracuse,Big East,121.1
Kyle Boller,California,Pac-10,126.8
Troy Edwards,Eastern Michigan,MAC,122.1
Darrell Hackney,UAB,CUSA,118.5
Sean Stilley,Texas Christian,CUSA,111.3
Jon Van Cleave,Louisiana,Sun Belt,108.7
Adam Smith,Duke,ACC,118.9
Andy Roesch,Ball State,MAC,129.3
John Navarre,Michigan,Big Ten,122.2
Dave Ragone,Louisville,CUSA,121.6
Danny Wimprine,Memphis,CUSA,117.7
Marquel Blackwell,South Florida,Ind,124.3
Brad Smith,Missouri,Big 12,117.3
Paul Troth,East Carolina,CUSA,106.1
Willie Simmons,Clemson,ACC,114.2
Steven Jyles,Louisiana-Monroe,Sun Belt,112.4
J.P. Losman,Tulane,CUSA,119.7
A.J. Suggs,Georgia Tech,ACC,111.8
A.J. Suggs,Georgia Tech,ACC,111.8
Kevin Fant,Mississippi State,SEC,107.1
Rasheed Marshall,West Virginia,Big East,113.7
Robert Hodge,Colorado,Big 12,115.1
Tyler Gooch,Tulsa,WAC,116.8
Casey Kelly,New Mexico,MWC,118.4
Derrick Vickers,Central Michigan,MAC,108.8
Kyle Matter,Stanford,Pac-10,105.0
Mike McGann,Temple,Big East,96.1
Zac Dahman,Army,CUSA,95.0
Bill Whittemore,Kansas,Big 12,103.4
Joshua Cribbs,Kent State,MAC,86.8
Hansell Bearden,Troy,Ind,81.8
Randall Secky,Buffalo,MAC,91.9
Tate Wallis,SMU,WAC,78.5
Ryan Dinwiddie,Boise State,WAC,163.7
Bradlee Van Pelt,Colorado State,MWC,153.4
Asad Abdul-Khaliq,Minnesota,Big Ten,162.3
Philip Rivers,North Carolina State,ACC,170.5
Ben Roethlisberger,Miami (OH),MAC,165.8
Bill Whittemore,Kansas,Big 12,154.7
Jim Sorgi,Wisconsin,Big Ten,148.1
Rod Rutherford,Pitt,Big East,157.4
Matt Leinart,USC,Pac-10,164.5
Stefan Lefors,Louisville,CUSA,145.5
Kelvin Kolb,Houston,CUSA,153.8
Kevin Kolb,Houston,CUSA,153.8
Ell Roberson,Kansas State,Big 12,143.2
Jason White,Oklahoma,Big 12,158.1
Scott McBrien,Maryland,ACC,142.7
Scott McBrien,Maryland,ACC,142.7
Brandon Hassell,Texas Christian,CUSA,135.1
Charlie Frye,Akron,MAC,148.6
Alex Smith,Utah,MWC,152.3
Brian Lindgren,Idaho,Sun Belt,144.3
Bruce Gradkowski,Toledo,MAC,161.5
Aaron Rodgers,California,Pac-10,146.6
Matt Jones,Arkansas,SEC,147.1
Eli Manning,Ole Miss,SEC,148.1
B.J. Symons,Texas Tech,Big 12,151.3
Chris Rix,Florida State,ACC,137.9
Casey Kelly,New Mexico,MWC,131.7
Bryan Randall,Virginia Tech,Big East,141.7
Reggie McNeal,Texas A&M,Big 12,124.5
Derek Anderson,Oregon State,Pac-10,124.1
Rasheed Marshall,West Virginia,Big East,133.8
Matt Mauck,LSU,SEC,148.2
Kellen Clemens,Oregon,Pac-10,139.8
Josh Harris,Bowling Green State,MAC,143.8
Charlie Whitehurst,Clemson,ACC,135.6
Jason Campbell,Auburn,SEC,132.6
David Greene,Georgia,SEC,128.5
Josh Haldi,Northern Illinois,MAC,142.0
Joshua Haldi,Northern Illinois,MAC,142.0
Chris Leak,Florida,SEC,132.9
Luke McCown,Louisiana Tech,WAC,128.1
Matt Kegel,Washington State,Pac-10,128.1
Dustin Almond,Southern Mississippi,CUSA,122.5
Josh Fields,Oklahoma State,Big 12,129.8
Dan Orlovsky,Connecticut,Ind,137.4
